iter	Passed	Remaining
883	15776	2070
884	15792	2052
885	15809	2034
886	15817	2015
887	15828	1996
888	15839	1977
889	15859	1960
890	15870	1941
891	15881	1922
892	15901	1905
893	15919	1887
894	15938	1869
895	15958	1852
896	15978	1834
897	15997	1817
898	16017	1799
899	16037	1781
900	16048	1763
901	16062	1745
902	16082	1727
903	16093	1709
904	16111	1691
905	16131	1673
906	16148	1655
907	16166	1638
908	16186	1620
909	16201	1602
910	16221	1584
911	16241	1567
912	16262	1549
913	16273	1531
914	16285	1512
915	16301	1494
916	16312	1476
917	16332	1458
918	16346	1440
919	16354	1422
920	16362	1403
921	16381	1385
922	16392	1367
923	16408	1349
924	16428	1332
925	16445	1314
926	16465	1296
927	16486	1279
928	16497	1260
929	16518	1243
930	16534	1225
931	16555	1207
932	16576	1190
933	16594	1172
934	16618	1155
935	16638	1137
936	16659	1120
937	16677	1102
938	16694	1084
939	16708	1066
940	16720	1048
941	16740	1030
942	16760	1013
943	16774	995
944	16791	977
945	16805	959
946	16824	941
947	16844	923
948	16856	905
949	16877	888
950	16891	870
951	16905	852
952	16919	834
953	16939	816
954	16950	798
955	16964	780
956	16984	763
957	16995	745
958	17015	727
959	17026	709
960	17039	691
961	17053	673
962	17061	655
963	17072	637
964	17092	619
965	17110	602
966	17130	584
967	17143	566
968	17164	549
969	17177	531
970	17189	513
971	17202	495
972	17216	477
973	17236	460
974	17253	442
975	17267	424
976	17283	406
977	17302	389
978	17319	371
979	17333	353
980	17344	335
981	17364	318
982	17384	300
983	17404	283
984	17424	265
985	17441	247
986	17458	229
987	17472	212
988	17485	194
989	17506	176
990	17526	159
991	17540	141
992	17553	123
993	17573	106
994	17584	88
995	17608	70
996	17620	53
997	17634	35
998	17654	17
999	17674	0
